default_city	default_postal	default_state_province	usgs_region
Presque Isle	04769	ME	Northwest
Littleton	04730	ME	Northwest
Indian Twp	04668	ME	Northeast
Perry	04667	ME	Northwest
Indian Island	04468	ME	Northwest
Providence Forge	23140	VA	Northwest
Capron	23829	VA	Northwest
King William	23086	VA	Northeast
Indian Neck	23148	VA	Northwest
North Stonington	06359	CT	Northwest
Mashantucket	06338	CT	Northwest
Uncasville	06382	CT	Northwest
Derby	06418	CT	Northeast
Dover	19901	DE	Northwest
Millsboro	19966	DE	Northwest
Mashpee	02649	MA	Northwest
Aquinnah	02535-1546	MA	Northwest
Bridgeton	08302	NJ	Northeast
Charlestown	02813	RI	Northwest
			Northwest
Brimley	49715	MI	Midwest
Peshawbestown	49682-9275	MI	Midwest
Wilson	49896-9728	MI	Midwest
Baraga	49908	MI	Midwest
Watersmeet	49969	MI	Midwest
Muskegon	49441	MI	Midwest
Harbor Springs	49740	MI	Midwest
Shelbyville	49344	MI	Midwest
Fulton	49052	MI	Midwest
Dowagiac	49047	MI	Midwest
Mt. Pleasant	48858	MI	Midwest
Saul Ste. Marie	49783	MI	Midwest
Odanah	54861	WI	Midwest
Crandon	54520	WI	Midwest
Black River Falls	54615	WI	Midwest
Hayward	54843	WI	Midwest
Lac du Flambeau	54538	WI	Midwest
Keshena	54135	WI	Midwest
Oneida	54155	WI	Midwest
Bayfield	54814	WI	Midwest
Webster	54893	WI	Midwest
Bowler	54416	WI	Midwest
Eagle Butte	57625	SD	Midwest
Fort Thompson	57339	SD	Midwest
Flandreau	57028	SD	Midwest
Lower Brule	57548	SD	Midwest
Pine Ridge	57770	SD	Midwest
Rosebud	57570	SD	Midwest
Agency Village	57262	SD	Midwest
Wagner	57380	SD	Midwest
Nett Lake	55772	MN	Midwest
Morton	56270	MN	Midwest
Cass Lake	56633	MN	Midwest
Welch	55089	MN	Midwest
Red Lake	56671	MN	Midwest
Prior Lake	55372-9077	MN	Midwest
Granite Falls	56421	MN	Midwest
Macy	68039	NE	Midwest
Niobrara	68760	NE	Midwest
Niobrara	68760-7219	NE	Midwest
Winnebago	68071	NE	Midwest
Fort Totten	58335	ND	Midwest
Fort Yates	58538	ND	Midwest
New Town	58763	ND	Midwest
Belcourt	58316	ND	Midwest
Tama	52339-9629	IA	Midwest
