City	Sunrise	Sunset
Spooner	5:06 am	5:54 pm ↑ (261°)
Warwick	4:47 am	5:36 pm ↑ (261°)
Waukesha	4:54 am	5:42 pm ↑ (261°)
Yonkers	4:58 am	5:47 pm ↑ (261°)
Wausau	4:58 am	5:46 pm ↑ (261°)
Ames	5:16 am	6:05 pm ↑ (261°)
Buckeye	5:35 am	6:27 pm ↑ (262°)
Davenport	5:04 am	5:53 pm ↑ (261°)
Dubuque	5:04 am	5:52 pm ↑ (261°)
Grinnell	5:12 am	6:01 pm ↑ (261°)
Petersburg	5:52 am	6:42 pm ↑ (261°)
Wheeling	5:25 am	6:15 pm ↑ (261°)
Alamogordo	5:09 am	6:01 pm ↑ (262°)
Albuquerque	5:11 am	6:02 pm ↑ (262°)
Cimarron	5:45 am	6:35 pm ↑ (262°)
Faribault	5:13 am	6:01 pm ↑ (261°)
Roswell	5:03 am	5:55 pm ↑ (262°)
Ruidoso	5:08 am	5:59 pm ↑ (262°)
Battleground	5:09 am	5:57 pm ↑ (261°)
Ellensburg	5:00 am	5:48 pm ↑ (260°)
Longview	5:24 am	6:16 pm ↑ (262°)
Pullman	4:47 am	5:35 pm ↑ (260°)
Puyallup	5:07 am	5:55 pm ↑ (260°)
Seattle	5:06 am	5:54 pm ↑ (260°)
Spokane	4:47 am	5:35 pm ↑ (260°)
Tacoma	5:07 am	5:55 pm ↑ (260°)
Vancouver	5:09 am	5:58 pm ↑ (261°)
Wenatchee	4:58 am	5:46 pm ↑ (260°)
Woodinville	5:05 am	5:54 pm ↑ (260°)
Yakima	5:00 am	5:48 pm ↑ (260°)
Allen	5:32 am	6:23 pm ↑ (262°)
Centralia	5:10 am	5:58 pm ↑ (260°)
Austin	5:36 am	6:30 pm ↑ (262°)
Champaign	4:55 am	5:45 pm ↑ (261°)
Chicago	4:52 am	5:41 pm ↑ (261°)
Dekalb	4:56 am	5:45 pm ↑ (261°)
Danville	5:43 am	6:33 pm ↑ (262°)
Effingham	4:57 am	5:47 pm ↑ (261°)
Gary	4:51 am	5:40 pm ↑ (261°)
Greencastle	5:50 am	6:39 pm ↑ (261°)
Hammond	4:52 am	5:40 pm ↑ (261°)
Elkhart	5:45 am	6:34 pm ↑ (261°)
Indianapolis	5:47 am	6:37 pm ↑ (261°)
Jeffersonville	5:46 am	6:36 pm ↑ (261°)
Kokomo	5:47 am	6:36 pm ↑ (261°)
Lawrenceburg	5:42 am	6:32 pm ↑ (261°)
Leesburg	5:13 am	6:03 pm ↑ (261°)
Marengo	5:49 am	6:38 pm ↑ (261°)
Muncie	5:44 am	6:33 pm ↑ (261°)
Wheaton	4:54 am	5:43 pm ↑ (261°)
Woodstock	4:58 am	5:46 pm ↑ (261°)
Vincennes	5:53 am	6:43 pm ↑ (261°)
Charlottesville	5:17 am	6:07 pm ↑ (261°)
Winslow	5:27 am	6:18 pm ↑ (262°)
Clifton	5:17 am	6:06 pm ↑ (261°)
Fredericksburg	5:13 am	6:03 pm ↑ (261°)
Harrisonburg	5:19 am	6:08 pm ↑ (261°)
Haymarket	5:14 am	6:03 pm ↑ (261°)
Lynchburg	5:20 am	6:10 pm ↑ (262°)
Manassas	5:13 am	6:03 pm ↑ (261°)
Roanoke	5:23 am	6:14 pm ↑ (262°)
Staunton	5:20 am	6:09 pm ↑ (261°)
Boise	5:45 am	6:34 pm ↑ (261°)
Lewiston	4:46 am	5:34 pm ↑ (260°)
Nampa	5:46 am	6:35 pm ↑ (261°)
Pocatello	5:31 am	6:19 pm ↑ (261°)
Merrimack	4:47 am	5:35 pm ↑ (261°)
Nashua	4:47 am	5:35 pm ↑ (261°)
Temple	5:35 am	6:28 pm ↑ (262°)
Brattleboro	4:51 am	5:40 pm ↑ (261°)
Montpelier	4:50 am	5:38 pm ↑ (261°)
Waterbury	4:54 am	5:43 pm ↑ (261°)
Reno	5:02 am	5:51 pm ↑ (261°)
Hilo	5:26 am	6:25 pm ↑ (263°)
Honolulu	5:37 am	6:35 pm ↑ (263°)
Ogden	5:30 am	6:19 pm ↑ (261°)
Provo	5:29 am	6:18 pm ↑ (261°)
Fairbury	5:31 am	6:20 pm ↑ (261°)
Garland	5:32 am	6:23 pm ↑ (262°)
Kearney	5:38 am	6:28 pm ↑ (261°)
Odessa	5:55 am	6:47 pm ↑ (262°)
Omaha	5:26 am	6:14 pm ↑ (261°)
Waterloo	5:10 am	5:59 pm ↑ (261°)
Acworth	5:43 am	6:35 pm ↑ (262°)
Atlanta/Fulton	5:42 am	6:34 pm ↑ (262°)
Braselton	5:40 am	6:31 pm ↑ (262°)
Cumming	5:41 am	6:33 pm ↑ (262°)
Duluth	5:06 am	5:54 pm ↑ (260°)
Lakeland	5:34 am	6:28 pm ↑ (262°)
Lawrenceville	5:41 am	6:32 pm ↑ (262°)
Macon	5:40 am	6:31 pm ↑ (262°)
Monticello	5:43 am	6:34 pm ↑ (262°)
Ringgold	5:45 am	6:36 pm ↑ (262°)
Savannah	5:30 am	6:22 pm ↑ (262°)
Summerville	5:26 am	6:18 pm ↑ (262°)
Valdosta	5:39 am	6:31 pm ↑ (262°)
Waycross	5:35 am	6:27 pm ↑ (262°)
Winder	5:40 am	6:31 pm ↑ (262°)
Mcallen	5:39 am	6:34 pm ↑ (262°)
Mckinney	5:31 am	6:23 pm ↑ (262°)
Mesquite	5:31 am	6:23 pm ↑ (262°)
Mineola	5:27 am	6:19 pm ↑ (262°)
